"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: latin1","Param: onHeap","Param: targetBufferSize","Param: transferSize"
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,23.785333,0.030123,"ops/us",,true,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,0.000040,0.000000,"MB/sec",,true,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,0.000002,0.000000,"B/op",,true,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,0.000000,NaN,"counts",,true,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,15.897627,0.058640,"ops/us",,true,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,0.000040,0.000000,"MB/sec",,true,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,0.000003,0.000000,"B/op",,true,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,0.000000,NaN,"counts",,true,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,13.349171,0.024617,"ops/us",,true,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,0.000040,0.000000,"MB/sec",,true,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,0.000003,0.000000,"B/op",,true,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,0.000000,NaN,"counts",,true,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,9.404897,0.011487,"ops/us",,true,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,0.000040,0.000000,"MB/sec",,true,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,0.000005,0.000000,"B/op",,true,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,0.000000,NaN,"counts",,true,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,23.754544,0.037498,"ops/us",,false,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,0.000040,0.000000,"MB/sec",,false,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,0.000002,0.000000,"B/op",,false,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,0.000000,NaN,"counts",,false,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,15.811852,0.038685,"ops/us",,false,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,0.000040,0.000000,"MB/sec",,false,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,0.000003,0.000000,"B/op",,false,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,0.000000,NaN,"counts",,false,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,13.357063,0.073515,"ops/us",,false,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,0.000040,0.000000,"MB/sec",,false,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,0.000003,0.000000,"B/op",,false,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,0.000000,NaN,"counts",,false,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,9.392627,0.022701,"ops/us",,false,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,0.000040,0.000000,"MB/sec",,false,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,0.000005,0.000000,"B/op",,false,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,0.000000,NaN,"counts",,false,false,,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,6457.883641,16.409337,"ops/ms",US-ASCII,,,128,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,0.000040,0.000000,"MB/sec",US-ASCII,,,128,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,0.000007,0.000000,"B/op",US-ASCII,,,128,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,0.000000,NaN,"counts",US-ASCII,,,128,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,7064.460944,14.246780,"ops/ms",US-ASCII,,,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,0.000040,0.000000,"MB/sec",US-ASCII,,,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,0.000006,0.000000,"B/op",US-ASCII,,,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,0.000000,NaN,"counts",US-ASCII,,,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,6904.081896,12.597493,"ops/ms",US-ASCII,,,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,351.133655,0.652231,"MB/sec",US-ASCII,,,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,56.002377,0.000646,"B/op",US-ASCII,,,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,349.514241,97.073635,"MB/sec",US-ASCII,,,128,1048576
