"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: latin1","Param: onHeap","Param: targetBufferSize","Param: transferSize"
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,20.686621,0.039887,"ops/us",,true,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,5110.189739,9.810589,"MB/sec",,true,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,272.007323,0.000218,"B/op",,true,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space","thrpt",1,5,5116.017528,134.949109,"MB/sec",,true,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,272.317538,7.171418,"B/op",,true,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.003469,0.003321,"MB/sec",,true,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.000185,0.000177,"B/op",,true,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,326.000000,NaN,"counts",,true,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.time","thrpt",1,5,177.000000,NaN,"ms",,true,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,5.039137,0.014893,"ops/us",,true,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,9445.875776,28.180096,"MB/sec",,true,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,2064.038296,0.001796,"B/op",,true,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space","thrpt",1,5,9466.755798,239.264787,"MB/sec",,true,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,2068.599192,50.682758,"B/op",,true,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.004338,0.009023,"MB/sec",,true,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.000948,0.001972,"B/op",,true,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,417.000000,NaN,"counts",,true,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.time","thrpt",1,5,247.000000,NaN,"ms",,true,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,12.947596,0.034787,"ops/us",,true,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,1693.295804,4.554176,"MB/sec",,true,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,144.005621,0.000678,"B/op",,true,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space","thrpt",1,5,1702.493410,97.065675,"MB/sec",,true,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,144.787913,8.273454,"B/op",,true,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.002176,0.000974,"MB/sec",,true,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.000185,0.000083,"B/op",,true,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,151.000000,NaN,"counts",,true,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.time","thrpt",1,5,85.000000,NaN,"ms",,true,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,6.569472,0.056931,"ops/us",,true,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,6204.970570,53.869453,"MB/sec",,true,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,1040.027564,0.001039,"B/op",,true,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space","thrpt",1,5,6195.626833,136.710015,"MB/sec",,true,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,1038.469999,27.827328,"B/op",,true,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.004159,0.008660,"MB/sec",,true,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.000697,0.001456,"B/op",,true,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,391.000000,NaN,"counts",,true,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.time","thrpt",1,5,206.000000,NaN,"ms",,true,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,20.669047,0.045070,"ops/us",,false,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,5105.867927,11.243445,"MB/sec",,false,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,272.007461,0.000337,"B/op",,false,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space","thrpt",1,5,5109.033945,162.364008,"MB/sec",,false,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,272.175803,8.437585,"B/op",,false,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.004012,0.006478,"MB/sec",,false,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.000214,0.000345,"B/op",,false,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,332.000000,NaN,"counts",,false,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.time","thrpt",1,5,168.000000,NaN,"ms",,false,true,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,5.182968,0.018186,"ops/us",,false,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,9715.457105,34.061396,"MB/sec",,false,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,2064.045063,0.000873,"B/op",,false,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space","thrpt",1,5,9713.947472,164.844555,"MB/sec",,false,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,2063.725710,35.756778,"B/op",,false,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.004400,0.007074,"MB/sec",,false,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.000935,0.001502,"B/op",,false,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,506.000000,NaN,"counts",,false,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.time","thrpt",1,5,286.000000,NaN,"ms",,false,true,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,13.042968,0.016718,"ops/us",,false,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,1705.775340,2.206031,"MB/sec",,false,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,144.005575,0.000671,"B/op",,false,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space","thrpt",1,5,1702.497558,97.052405,"MB/sec",,false,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,143.729399,8.369059,"B/op",,false,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.002592,0.001425,"MB/sec",,false,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.000219,0.000121,"B/op",,false,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,151.000000,NaN,"counts",,false,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.time","thrpt",1,5,95.000000,NaN,"ms",,false,false,,128
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read","thrpt",1,5,6.588954,0.079063,"ops/us",,false,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate","thrpt",1,5,6223.392032,74.701699,"MB/sec",,false,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.alloc.rate.norm","thrpt",1,5,1040.026653,0.000926,"B/op",,false,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space","thrpt",1,5,6236.491424,141.679327,"MB/sec",,false,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,1042.218585,22.693512,"B/op",,false,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.004483,0.003596,"MB/sec",,false,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.000749,0.000604,"B/op",,false,false,,1024
"com.github.marschall.readerbenchmarks.CharArrayReaderBenchmarks.read:·gc.count","thrpt",1,5,379.000000,NaN,"counts",,false,false,,1024
