"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: targetBufferSize","Param: transferSize"
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,5620.800869,7.476862,"ops/ms",US-ASCII,128,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,1388.505091,1.830627,"MB/sec",US-ASCII,128,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,272.010719,0.001261,"B/op",US-ASCII,128,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,1386.779798,118.844734,"MB/sec",US-ASCII,128,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,271.672702,23.272917,"B/op",US-ASCII,128,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.002630,0.003824,"MB/sec",US-ASCII,128,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.000515,0.000749,"B/op",US-ASCII,128,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,123.000000,NaN,"counts",US-ASCII,128,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.time","thrpt",1,5,85.000000,NaN,"ms",US-ASCII,128,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,6728.106325,21.352810,"ops/ms",US-ASCII,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,2004.240804,6.366537,"MB/sec",US-ASCII,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,328.012626,0.001430,"B/op",US-ASCII,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,2006.914528,118.839940,"MB/sec",US-ASCII,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,328.451813,19.916790,"B/op",US-ASCII,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.002848,0.002245,"MB/sec",US-ASCII,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.000466,0.000369,"B/op",US-ASCII,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,178.000000,NaN,"counts",US-ASCII,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.time","thrpt",1,5,111.000000,NaN,"ms",US-ASCII,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,6482.010810,39.791488,"ops/ms",US-ASCII,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,1930.910667,11.779716,"MB/sec",US-ASCII,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,328.012612,0.001222,"B/op",US-ASCII,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,1927.976328,97.187029,"MB/sec",US-ASCII,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,327.519979,18.456975,"B/op",US-ASCII,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.002391,0.001607,"MB/sec",US-ASCII,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.000406,0.000275,"B/op",US-ASCII,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,171.000000,NaN,"counts",US-ASCII,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.time","thrpt",1,5,101.000000,NaN,"ms",US-ASCII,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,903.205170,2.159624,"ops/ms",US-ASCII,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,1693.080811,4.023631,"MB/sec",US-ASCII,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,2064.080065,0.008241,"B/op",US-ASCII,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,1691.218005,0.088259,"MB/sec",US-ASCII,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,2061.809701,4.936498,"B/op",US-ASCII,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.002608,0.000908,"MB/sec",US-ASCII,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.003179,0.001102,"B/op",US-ASCII,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,150.000000,NaN,"counts",US-ASCII,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.time","thrpt",1,5,103.000000,NaN,"ms",US-ASCII,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,1364.383335,4.703293,"ops/ms",US-ASCII,1024,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,2557.557473,8.697596,"MB/sec",US-ASCII,1024,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,2064.078399,0.004139,"B/op",US-ASCII,1024,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,2559.363284,118.821227,"MB/sec",US-ASCII,1024,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,2065.541573,97.933944,"B/op",US-ASCII,1024,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.003214,0.006634,"MB/sec",US-ASCII,1024,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.002593,0.005353,"B/op",US-ASCII,1024,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,227.000000,NaN,"counts",US-ASCII,1024,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.time","thrpt",1,5,130.000000,NaN,"ms",US-ASCII,1024,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,1482.630803,3.983082,"ops/ms",US-ASCII,1024,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,2779.244475,7.511225,"MB/sec",US-ASCII,1024,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,2064.078197,0.006725,"B/op",US-ASCII,1024,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,2784.890941,118.963523,"MB/sec",US-ASCII,1024,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,2068.273820,89.100059,"B/op",US-ASCII,1024,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.003103,0.002725,"MB/sec",US-ASCII,1024,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.002304,0.002024,"B/op",US-ASCII,1024,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,247.000000,NaN,"counts",US-ASCII,1024,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.time","thrpt",1,5,143.000000,NaN,"ms",US-ASCII,1024,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,1.012789,0.012140,"ops/ms",US-ASCII,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,21.678269,0.256154,"MB/sec",US-ASCII,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,23569.094335,5.552486,"B/op",US-ASCII,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,22.547655,118.887277,"MB/sec",US-ASCII,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,24572.294901,129562.723990,"B/op",US-ASCII,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.000302,0.002605,"MB/sec",US-ASCII,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.329333,2.835654,"B/op",US-ASCII,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,2.000000,NaN,"counts",US-ASCII,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.time","thrpt",1,5,3.000000,NaN,"ms",US-ASCII,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,1.156872,0.014632,"ops/ms",US-ASCII,1048576,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,24.762542,0.311416,"MB/sec",US-ASCII,1048576,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,23569.418333,4.857073,"B/op",US-ASCII,1048576,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,33.822181,118.889732,"MB/sec",US-ASCII,1048576,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,32227.945052,113287.354992,"B/op",US-ASCII,1048576,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.001275,0.010974,"MB/sec",US-ASCII,1048576,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,1.210871,10.425960,"B/op",US-ASCII,1048576,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,3.000000,NaN,"counts",US-ASCII,1048576,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.time","thrpt",1,5,5.000000,NaN,"ms",US-ASCII,1048576,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,1.652317,0.005162,"ops/ms",US-ASCII,1048576,1048576
